id,text,anger,fear,joy,sadness,surprise
eng_test_track_a_00001,My friend explores the vast universe until dawn.,0,0,0,0,1
eng_test_track_a_00002,The teacher dreams about a mysterious signal and is surprised.,1,0,1,0,0
eng_test_track_a_00003,My friend builds the northern lights and smiles.,0,0,0,0,0
eng_test_track_a_00004,My friend dreams about the meaning of life and is surprised.,0,0,0,0,1
eng_test_track_a_00005,The musician dreams about the meaning of life with a heavy heart.,0,0,0,0,0
eng_test_track_a_00006,The robot dreams about an ancient ruin in silence.,0,0,0,0,0
eng_test_track_a_00007,An astronaut builds a delicious meal with fear in their eyes.,0,1,0,0,1
eng_test_track_a_00008,The teacher paints a vibrant sunset with great joy.,0,1,0,0,0
eng_test_track_a_00009,A traveller builds the northern lights with fear in their eyes.,0,1,0,0,1
eng_test_track_a_00010,The child explores the meaning of life with anger.,0,1,0,0,0
eng_test_track_a_00011,The robot explores a rare flower in silence.,0,1,0,0,1
eng_test_track_a_00012,A filmmaker studies a vibrant sunset without hesitation.,1,1,0,1,0
eng_test_track_a_00013,My friend dreams about a new melody with fear in their eyes.,0,1,0,0,0
eng_test_track_a_00014,A gardener eats the vast universe until dawn.,0,0,0,0,1
eng_test_track_a_00015,A traveller eats a hidden treasure with great joy.,0,1,0,0,1
eng_test_track_a_00016,The child discovers the meaning of life until dawn.,0,1,0,0,0
eng_test_track_a_00017,My friend eats a delicious meal in silence.,0,0,1,0,1
eng_test_track_a_00018,A filmmaker explores a hidden treasure until dawn.,0,0,0,1,0
eng_test_track_a_00019,The teacher finds a vibrant sunset until dawn.,0,1,0,1,0
eng_test_track_a_00020,A gardener dreams about the meaning of life with a heavy heart.,0,1,0,0,0
eng_test_track_a_00021,The teacher eats a hidden treasure in silence.,0,1,0,0,0
eng_test_track_a_00022,The child paints a mysterious signal until dawn.,0,1,0,0,1
eng_test_track_a_00023,My friend contemplates a hidden treasure with great joy.,0,0,0,1,0
eng_test_track_a_00024,The musician sings about a vibrant sunset and smiles.,0,0,0,0,0
eng_test_track_a_00025,The musician builds a hidden treasure with anger.,0,1,0,0,0
eng_test_track_a_00026,A traveller studies the vast universe with anger.,1,1,0,1,1
eng_test_track_a_00027,The robot dreams about a rare flower with great joy.,0,1,0,0,0
eng_test_track_a_00028,The musician discovers a delicious meal until dawn.,0,1,0,0,1
eng_test_track_a_00029,The child paints the northern lights in silence.,1,0,0,0,1
eng_test_track_a_00030,A traveller sings about a mysterious signal with great joy.,0,1,0,1,0
eng_test_track_a_00031,The musician explores the meaning of life without hesitation.,0,0,0,1,0
eng_test_track_a_00032,The musician studies the meaning of life until dawn.,1,1,1,0,0
eng_test_track_a_00033,An astronaut eats a vibrant sunset in silence.,0,1,0,1,0
eng_test_track_a_00034,The musician sings about a vibrant sunset and smiles.,0,1,0,0,0
eng_test_track_a_00035,An astronaut builds a rare flower until dawn.,1,1,0,0,0
eng_test_track_a_00036,The robot finds a mysterious signal with a heavy heart.,1,1,1,0,0
eng_test_track_a_00037,My friend dreams about a new melody until dawn.,0,0,0,1,1
eng_test_track_a_00038,The robot dreams about a new melody until dawn.,0,1,0,0,1
eng_test_track_a_00039,The cat contemplates the vast universe and is surprised.,0,0,0,1,0
eng_test_track_a_00040,A traveller contemplates the northern lights with great joy.,0,1,0,1,0
eng_test_track_a_00041,A gardener contemplates the meaning of life until dawn.,0,1,0,0,1
eng_test_track_a_00042,The teacher finds a vibrant sunset and is surprised.,0,0,0,0,0
eng_test_track_a_00043,The robot finds a mysterious signal with a heavy heart.,0,1,0,0,1
eng_test_track_a_00044,The robot contemplates a mysterious signal without hesitation.,0,1,0,1,1
eng_test_track_a_00045,The teacher studies a delicious meal with a heavy heart.,0,0,0,1,0
eng_test_track_a_00046,The musician builds a vibrant sunset and feels inspired.,0,1,0,0,1
eng_test_track_a_00047,The cat paints a mysterious signal with great joy.,0,1,0,0,0
eng_test_track_a_00048,The musician sings about the vast universe and smiles.,0,0,1,1,1
eng_test_track_a_00049,The robot dreams about a vibrant sunset with anger.,0,1,0,0,0
eng_test_track_a_00050,The child dreams about a hidden treasure until dawn.,1,0,1,1,1
eng_test_track_a_00051,A filmmaker sings about an ancient ruin with great joy.,0,0,1,0,1
eng_test_track_a_00052,The cat paints a mysterious signal and smiles.,0,0,0,0,0
eng_test_track_a_00053,A filmmaker explores an ancient ruin and is surprised.,0,0,0,0,0
eng_test_track_a_00054,A gardener contemplates a vibrant sunset with fear in their eyes.,0,1,0,0,1
eng_test_track_a_00055,The musician sings about the vast universe and is surprised.,0,1,1,0,0
eng_test_track_a_00056,The robot finds the meaning of life without hesitation.,0,1,0,0,1
eng_test_track_a_00057,An astronaut contemplates the vast universe until dawn.,0,1,0,0,1
eng_test_track_a_00058,The robot paints a mysterious signal with great joy.,1,1,0,0,1
eng_test_track_a_00059,A traveller sings about a delicious meal and feels inspired.,0,1,1,0,0
eng_test_track_a_00060,A gardener explores a new melody with fear in their eyes.,0,0,0,0,1
eng_test_track_a_00061,My friend discovers a rare flower in silence.,0,0,0,0,0
eng_test_track_a_00062,The robot explores an ancient ruin without hesitation.,1,1,0,0,1
eng_test_track_a_00063,A traveller paints a hidden treasure and feels inspired.,0,1,0,1,0
eng_test_track_a_00064,An astronaut paints a new melody with anger.,1,1,0,0,1
eng_test_track_a_00065,The robot dreams about a delicious meal with anger.,0,1,1,0,1
eng_test_track_a_00066,The child explores the vast universe and feels inspired.,0,1,0,0,0
eng_test_track_a_00067,A gardener discovers a delicious meal and is surprised.,0,0,0,0,0
eng_test_track_a_00068,The child eats a rare flower with fear in their eyes.,0,1,1,0,0
eng_test_track_a_00069,The robot paints a new melody in silence.,0,1,0,0,1
eng_test_track_a_00070,A filmmaker paints an ancient ruin in silence.,0,0,0,1,0
eng_test_track_a_00071,The musician finds the northern lights with anger.,0,1,0,0,1
eng_test_track_a_00072,An astronaut finds a vibrant sunset with anger.,0,0,0,0,0
eng_test_track_a_00073,An astronaut paints the meaning of life with anger.,0,1,1,0,0
eng_test_track_a_00074,The musician sings about a vibrant sunset with fear in their eyes.,0,1,0,0,0
eng_test_track_a_00075,My friend paints the northern lights with great joy.,0,1,0,0,0
eng_test_track_a_00076,The teacher studies a vibrant sunset and feels inspired.,1,0,0,0,1
eng_test_track_a_00077,An astronaut finds a new melody with fear in their eyes.,0,1,0,1,1
eng_test_track_a_00078,The child contemplates a hidden treasure and smiles.,0,1,1,1,1
eng_test_track_a_00079,A filmmaker finds an ancient ruin and is surprised.,1,0,0,0,1
eng_test_track_a_00080,A gardener builds the meaning of life with great joy.,0,0,0,0,1
eng_test_track_a_00081,A filmmaker studies the northern lights and is surprised.,0,0,1,0,0
eng_test_track_a_00082,A gardener studies a mysterious signal with anger.,0,0,1,0,1
eng_test_track_a_00083,My friend sings about the meaning of life with great joy.,0,0,0,0,1
eng_test_track_a_00084,The robot sings about a hidden treasure in silence.,1,0,0,0,0
eng_test_track_a_00085,A filmmaker paints the vast universe without hesitation.,0,1,1,1,0
eng_test_track_a_00086,A filmmaker explores the vast universe and feels inspired.,0,1,0,1,0
eng_test_track_a_00087,The teacher builds the northern lights without hesitation.,1,1,0,1,0
eng_test_track_a_00088,An astronaut contemplates a hidden treasure with fear in their eyes.,0,0,1,0,0
eng_test_track_a_00089,A gardener paints the vast universe in silence.,0,1,0,0,0
eng_test_track_a_00090,A filmmaker explores a delicious meal in silence.,0,1,1,1,1
eng_test_track_a_00091,A traveller eats a vibrant sunset without hesitation.,0,0,1,0,0
eng_test_track_a_00092,A traveller studies a hidden treasure and smiles.,1,1,0,0,0
eng_test_track_a_00093,A filmmaker studies a vibrant sunset with anger.,0,1,0,0,0
eng_test_track_a_00094,A filmmaker eats the northern lights and feels inspired.,0,1,0,0,1
eng_test_track_a_00095,My friend finds a hidden treasure in silence.,0,0,0,1,0
eng_test_track_a_00096,The robot contemplates a hidden treasure with fear in their eyes.,0,1,0,0,0
eng_test_track_a_00097,The robot explores a delicious meal without hesitation.,1,1,0,0,0
eng_test_track_a_00098,A filmmaker discovers a mysterious signal in silence.,0,0,1,1,1
eng_test_track_a_00099,The teacher discovers a delicious meal in silence.,0,0,1,0,1
eng_test_track_a_00100,The robot explores the meaning of life with a heavy heart.,0,0,1,0,1
